,Start Date,End Date,WARP,+Sortino,+Ret_To_MaxDD,Sharpe,Sortino,Max_DD
qqq,2007-07-02,2020-12-30,3.480136537467038,4.711243991040526,2.2635034183057456,0.7738633260440605,1.0968897445160013,0.5340400595046502
lqd,2007-07-02,2020-12-30,9.349883446101082,12.46133960939586,6.324511616229067,0.7186784282550004,1.0213753220417208,0.21762126758530922
hyg,2007-07-02,2020-12-30,-5.06478633607853,-0.17284428122922302,-9.71700306873775,0.5057214773752442,0.728424159628681,0.3424650739452642
tlt,2007-07-02,2020-12-30,32.58072462503077,31.523033730865823,33.64692132989568,0.5779136660705391,0.8388357825419884,0.26585384311824417
ief,2007-07-02,2020-12-30,18.977826672964948,20.523342298199942,17.45212976916848,0.8203694815044107,1.2093514579754734,0.10401424922053978
shy,2007-07-02,2020-12-30,4.764815560792579,7.43475869499961,2.161225219913221,1.420664744033367,2.187241753097045,0.022313885362439403
gld,2007-07-02,2020-12-30,13.56678475470523,12.689018888659188,14.451387781312231,0.5010323190757218,0.7112320508525676,0.4555501273425693
slv,2007-07-02,2020-12-30,-7.0879347151046606,-6.879502460997921,-7.29590043385453,0.31842515916476577,0.43567183959513517,0.7628015142556758
efa,2007-07-02,2020-12-30,-25.703543483999912,-21.2132002270618,-29.937965918881048,0.21323780526612915,0.2960509152830824,0.6103730283021424
eem,2007-07-02,2020-12-30,-24.927243828609726,-23.071625188695744,-26.738102384286357,0.25542611511818414,0.3676083344598633,0.6643428336719656
iyr,2007-07-02,2020-12-30,-19.89708028792643,-16.674216663090245,-22.995290419830006,0.3014429077324407,0.4272552557944414,0.7050024411717395
xle,2007-07-02,2020-12-30,-34.307049038374835,-33.145276626556516,-35.44863267266547,0.10664109621542613,0.14842889220781377,0.7126276912685877
xlk,2007-07-02,2020-12-30,1.2824829424844308,2.1216906850641815,0.45017157647737616,0.7063681375470103,1.0049496552405366,0.530358564624393
xlf,2007-07-02,2020-12-30,-28.016334675456413,-22.219418216650322,-33.381212190095454,0.2265565131876117,0.3271469778501058,0.8221465848514241
GC=F,2007-07-02,2020-12-31,15.997763718863855,15.660442828306188,16.336068397659087,0.5239596788009164,0.7476747738175589,0.4436384412589517
RPAR,2019-12-13,2020-12-30,8.045605540750556,353.0378935034655,-74.23206084067189,1.2247637245719338,1.6689708675306099,0.19821096856960183
